,Dates,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
0,2020-01-30,1.0,0.0,0.0,900000.0,1.0,0.0
1,2020-01-31,1.0,0.0,0.0,899999.878140657,1.1134696878796506,0.00838965519504567
2,2020-02-01,1.0,0.0,0.0,899999.7424414593,1.239826395813685,0.01773214478713837
3,2020-02-02,2.0,0.0,0.0,899999.5913566322,1.380509476604776,0.028133891247678955
4,2020-02-03,3.0,0.0,0.0,899999.4231443169,1.537140866248278,0.039714816950960304
5,2020-02-04,3.0,0.0,0.0,899999.2358424745,1.7115475221565002,0.0526100032572062
6,2020-02-05,3.0,0.0,0.0,899999.0272688862,1.9057614231587063,0.06696969051257137
7,2020-02-06,3.0,0.0,0.0,899998.7950211525,2.1220195695011137,0.08295927804914155
8,2020-02-07,3.0,0.0,0.0,899998.5363379406,2.362893181424175,0.10076887782845237
9,2020-02-08,3.0,0.0,0.0,899998.2482919005,2.631108068592788,0.12060003103377087
10,2020-02-09,3.0,0.0,0.0,899997.9277248611,2.9296049694839663,0.14267016942994865
11,2020-02-10,3.0,0.0,0.0,899997.5709555125,3.2618117447211588,0.16723274286570594
12,2020-02-11,3.0,0.0,0.0,899997.1737790123,3.6316437414602265,0.1945772462184324
13,2020-02-12,3.0,0.0,0.0,899996.7314669873,4.0435037933894336,0.22502921939418716
14,2020-02-13,3.0,0.0,0.0,899996.2387675318,4.502282220729454,0.2589502473276987
15,2020-02-14,3.0,0.0,0.0,899995.6899052098,5.013356830233372,0.29673795998236496
16,2020-02-15,3.0,0.0,0.0,899995.0785810525,5.582592915186675,0.33882603235025344
17,2020-02-16,0.0,3.0,0.0,899994.3979725601,6.216343255407262,0.3856841844521008
18,2020-02-17,0.0,3.0,0.0,899993.6400586114,6.922076715158205,0.4378646733865217
19,2020-02-18,0.0,3.0,0.0,899992.7958129216,7.708198118560634,0.49598895978452795
20,2020-02-19,0.0,3.0,0.0,899991.85648351,8.582856901324044,0.5606595886606339
21,2020-02-20,0.0,3.0,0.0,899990.8116348828,9.555770091651146,0.632595025550223
22,2020-02-21,0.0,3.0,0.0,899989.6490958716,10.63827087946386,0.7126332488715934
23,2020-02-22,0.0,3.0,0.0,899988.3549596338,11.843308616403313,0.8017317499259581
24,2020-02-23,0.0,3.0,0.0,899986.9135836513,13.185448815829847,0.9009675328974444
25,2020-02-24,0.0,3.0,0.0,899985.3075897323,14.680873152823004,1.011537114853095
26,2020-02-25,0.0,3.0,0.0,899983.5178640102,16.347379464181554,1.1347565257428662
27,2020-02-26,0.0,3.0,0.0,899981.5235569432,18.204381748423465,1.2720613083996304
28,2020-02-27,0.0,3.0,0.0,899979.3020833157,20.272910165785913,1.4250065185391738
29,2020-02-28,0.0,3.0,0.0,899976.829122237,22.575611038225283,1.5952667247601977
30,2020-02-29,0.0,3.0,0.0,899974.0767259297,25.138507704967214,1.7847663652868324
31,2020-03-01,0.0,3.0,0.0,899971.0096081975,27.99445637829936,1.9959354242150815
32,2020-03-02,2.0,3.0,0.0,899967.5968378525,31.172258856515516,2.2309032909934903
33,2020-03-03,2.0,3.0,0.0,899963.8018685627,34.70594533499482,2.492186102320681
34,2020-03-04,25.0,3.0,0.0,899959.5813494128,38.635881851238025,2.7827687359224407
35,2020-03-05,27.0,3.0,0.0,899954.8851249046,43.008770284867495,3.106104810551716
36,2020-03-06,28.0,3.0,0.0,899949.6562349562,47.87764835762728,3.466116685988614
37,2020-03-07,31.0,3.0,0.0,899943.8309149034,53.301889633382956,3.8671954630404035
38,2020-03-08,36.0,3.0,0.0,899937.3385954985,59.347203518121866,4.314200983541518
39,2020-03-09,40.0,3.0,0.0,899930.1019029097,66.08563525995281,4.8124618303535485
40,2020-03-10,52.0,4.0,0.0,899922.0366587235,73.59556594910637,5.367775327365249
41,2020-03-11,57.0,4.0,1.0,899913.0518799425,81.96171251793467,5.986407539492532
42,2020-03-12,68.0,4.0,1.0,899903.0497789864,91.27512774091149,6.6750932726784775
43,2020-03-13,76.0,4.0,2.0,899891.9229352651,101.63583315320328,7.441231581637572
44,2020-03-14,96.0,4.0,2.0,899879.527561237,113.1777069857237,8.294731777321623
45,2020-03-15,98.0,13.0,2.0,899865.7311335438,126.02414822478396,9.244718231413348
46,2020-03-16,104.0,13.0,2.0,899850.3853174115,140.31327803533972,10.301404553118012
47,2020-03-17,125.0,14.0,3.0,899833.3149623348,156.20818304433124,11.47685462080281
48,2020-03-18,139.0,14.0,3.0,899814.3181020773,173.8969153406835,12.784982581996866
49,2020-03-19,175.0,15.0,4.0,899793.1659546712,193.5924924753061,14.241552853391235
50,2020-03-20,219.0,20.0,5.0,899769.6029224179,215.53289746109303,15.864180120838904
51,2020-03-21,303.0,23.0,4.0,899743.3465918878,239.98107877292324,17.672329339354782
52,2020-03-22,362.0,27.0,7.0,899714.0877339194,267.2249503476601,19.687315733115703
53,2020-03-23,462.0,27.0,10.0,899681.4903036203,297.5773915841516,21.932304795460453
54,2020-03-24,486.0,40.0,10.0,899645.1914403678,331.3762473432304,24.432312288889733
55,2020-03-25,602.0,43.0,12.0,900000.0,602.0,43.0
56,2020-03-26,662.0,45.0,20.0,899894.1860996354,695.673208932283,55.14069143233168
57,2020-03-27,794.0,73.0,20.0,899771.9126374524,803.9156360114865,69.17172653608158
58,2020-03-28,879.0,84.0,24.0,899630.6122489764,928.9990431834643,85.3887078401593
59,2020-03-29,902.0,95.0,27.0,899467.4338754298,1073.4465854837144,104.1195390864375
60,2020-03-30,1117.0,102.0,32.0,899278.9692224558,1240.2739524989931,125.75682504525005
61,2020-03-31,1239.0,123.0,35.0,899061.2173686583,1433.0205448038641,150.76208653775282
62,2020-04-01,1792.0,148.0,58.0,898809.5847656033,1655.749473960701,179.66576043592377
63,2020-04-02,2280.0,191.0,72.0,898518.8852378177,1913.0475625196855,213.0671996625628
64,2020-04-03,2303.0,192.0,72.0,898183.1539356182,2210.187471248842,251.65859313278824
65,2020-04-04,2767.0,229.0,86.0,897795.4298023107,2553.3212625963297,296.2489350929389
66,2020-04-05,3260.0,229.0,99.0,897348.1865021726,2949.109599565381,347.70389826192843
67,2020-04-06,4267.0,375.0,136.0,896832.2620423038,3405.652810662209,407.0851470339208
68,2020-04-07,4740.0,421.0,150.0,896236.7866058829,3932.5536630621655,475.6597310547165
69,2020-04-08,5232.0,506.0,178.0,895549.1825521685,4540.9173626097445,554.9000852217526
70,2020-04-09,5879.0,620.0,226.0,894755.1644164972,5243.3515538185775,646.484029684103
71,2020-04-10,6578.0,774.0,246.0,893838.738910286,6053.966319871434,752.2947698424782
72,2020-04-11,7189.0,969.0,288.0,892782.2049210307,6988.3741826202295,874.4208963492251
73,2020-04-12,7794.0,1080.0,331.0,891565.2528778096,8064.479961982809,1015.2671602076633
74,2020-04-13,8914.0,1181.0,358.0,890163.2222890819,9304.006943620709,1177.7707672973804
75,2020-04-14,9735.0,1359.0,393.0,888548.6734253194,10731.103932733191,1365.2226419473884
76,2020-04-15,10485.0,1432.0,405.0,900000.0,10485.0,1432.0
77,2020-04-16,11214.0,1768.0,448.0,899128.7804579942,10991.146248916968,1797.0732930887243
